iter	Passed	Remaining
0	148	148600
1	149	74540
2	149	49839
3	150	37548
4	151	30132
5	152	25228
6	153	21704
7	153	19051
8	154	17002
9	155	15349
10	155	13996
11	156	12871
12	157	11944
13	158	11144
14	158	10437
15	159	9813
16	160	9266
17	160	8778
18	161	8342
19	162	7951
20	162	7597
21	163	7274
22	164	6984
23	165	6714
24	165	6464
25	166	6232
26	166	6018
27	167	5819
28	168	5634
29	168	5462
30	169	5306
31	170	5158
32	171	5017
33	171	4883
34	172	4760
35	173	4643
36	174	4531
37	174	4426
38	175	4329
39	176	4240
40	177	4150
41	178	4062
42	178	3979
43	179	3900
44	180	3824
45	180	3752
46	181	3689
47	183	3632
48	183	3569
49	184	3507
50	185	3447
51	185	3390
52	186	3336
53	187	3282
54	188	3233
55	189	3186
56	189	3140
57	190	3094
58	191	3050
59	192	3008
60	192	2967
61	193	2928
62	194	2891
63	195	2856
64	196	2819
65	196	2783
66	197	2749
67	198	2715
68	198	2683
69	199	2651
70	200	2622
71	201	2597
72	202	2568
73	203	2540
74	203	2512
75	204	2485
76	205	2459
77	205	2433
78	206	2411
79	208	2392
80	208	2369
81	209	2346
82	209	2319
83	210	2297
84	211	2275
85	212	2255
86	213	2236
87	214	2219
88	215	2201
89	215	2182
90	216	2164
91	217	2146
92	218	2128
93	219	2114
94	220	2099
95	221	2082
96	221	2065
97	222	2048
98	223	2032
99	224	2016
100	224	2000
101	225	1985
102	226	1972
103	227	1957
104	227	1942
105	228	1928
106	229	1914
107	230	1900
108	230	1886
109	231	1874
110	232	1864
111	233	1851
112	234	1838
113	234	1826
114	235	1813
115	236	1801
116	236	1788
117	237	1776
118	238	1765
119	239	1754
120	239	1743
121	240	1731
122	241	1720
123	241	1709
124	242	1698
125	243	1688
126	244	1679
127	245	1670
128	245	1660
129	246	1650
130	247	1640
131	248	1630
132	248	1621
133	249	1613
134	250	1603
135	251	1594
136	251	1587
137	252	1579
138	253	1571
139	254	1562
140	255	1554
141	255	1544
142	256	1536
143	257	1529
144	258	1521
145	258	1514
146	259	1506
147	260	1498
148	260	1490
149	261	1483
150	262	1475
151	263	1469
152	264	1462
153	264	1454
154	265	1447
155	266	1440
156	266	1433
157	267	1426
158	268	1419
159	269	1413
160	269	1405
161	270	1399
162	271	1393
163	272	1388
164	273	1382
165	273	1375
166	274	1371
167	275	1365
168	276	1360
169	277	1354
170	278	1348
171	278	1342
172	279	1336
173	280	1332
174	282	1329
175	282	1324
176	283	1318
177	284	1312
178	285	1307
179	285	1301
180	286	1296
181	287	1291
182	288	1286
183	288	1280
184	289	1275
185	290	1270
186	291	1265
187	292	1261
188	293	1258
189	294	1253
190	294	1249
191	295	1244
192	296	1239
193	297	1234
194	297	1229
195	298	1225
196	299	1221
197	300	1216
198	301	1212
199	301	1207
200	302	1202
201	303	1198
202	303	1193
203	304	1188
204	305	1185
205	306	1180
206	307	1176
207	307	1172
208	308	1167
209	309	1163
210	309	1159
211	310	1155
212	311	1152
213	312	1149
214	313	1145
215	314	1141
216	315	1137
217	316	1133
218	316	1129
219	317	1125
220	318	1122
221	319	1118
222	319	1114
223	320	1110
224	321	1106
225	321	1102
226	322	1098
227	323	1094
228	324	1091
229	324	1087
230	325	1084
231	326	1081
232	327	1077
233	328	1074
234	329	1071
235	329	1068
236	330	1065
237	332	1063
238	332	1060
239	333	1057
240	335	1055
241	336	1053
242	337	1050
243	337	1046
244	338	1043
245	339	1040
246	340	1037
247	340	1033
248	341	1030
249	342	1028
250	343	1025
251	344	1021
252	345	1018
253	345	1015
254	346	1012
255	347	1008
256	348	1006
257	349	1004
258	350	1002
259	351	999
260	351	996
261	352	993
262	353	990
263	354	987
264	355	985
265	355	982
266	356	979
267	357	976
268	358	973
269	358	970
270	359	967
271	360	964
272	361	961
273	361	958
274	362	956
275	363	953
276	364	950
277	364	947
278	365	944
279	366	942
280	367	939
281	368	937
282	368	934
283	369	931
284	370	929
285	371	927
286	372	925
287	373	923
288	374	920
289	375	918
290	375	915
291	376	913
292	377	910
293	378	907
294	378	905
295	379	903
296	380	900
297	381	897
298	381	895
299	382	893
300	383	890
301	384	888
302	385	886
303	386	884
304	386	881
305	387	879
306	389	878
307	389	876
308	391	874
309	392	872
310	393	870
311	394	869
312	394	866
313	395	864
314	396	861
315	397	859
316	398	857
317	398	855
318	399	853
319	400	850
320	400	848
321	401	845
322	402	843
323	403	841
324	404	839
325	404	836
326	405	834
327	406	832
328	408	833
329	409	831
330	410	830
331	411	828
332	412	826
333	413	824
334	414	821
335	414	819
336	415	817
337	416	816
338	417	814
339	418	811
340	419	809
341	419	807
342	420	805
343	421	803
344	421	800
345	422	798
346	423	796
347	424	794
348	424	792
349	425	790
350	426	787
351	427	786
352	428	784
353	428	782
354	429	780
355	430	778
356	431	776
357	431	774
358	432	772
359	433	770
360	434	768
361	434	766
362	436	765
363	436	763
364	437	761
365	438	759
366	439	757
367	440	755
368	450	770
369	451	768
370	451	766
371	452	764
372	453	762
373	454	761
374	455	759
375	456	757
376	456	755
377	457	753
378	458	750
379	458	748
380	460	747
381	461	745
382	461	743
383	462	742
384	463	740
385	464	738
386	465	736
387	465	734
388	466	733
389	467	731
390	468	729
391	469	727
392	470	725
393	470	724
394	471	722
395	472	720
396	473	718
397	474	717
398	474	715
399	475	713
400	476	711
401	477	709
402	478	708
403	479	706
404	479	704
405	480	703
406	481	701
407	482	699
408	482	697
409	483	695
410	484	694
411	485	692
412	486	691
413	487	689
414	488	688
415	488	686
416	489	684
417	490	682
418	491	681
419	492	679
420	492	677
421	493	676
422	494	674
423	494	672
424	495	670
425	496	668
426	497	666
427	497	665
428	498	663
429	499	661
430	500	660
431	500	658
432	501	656
433	502	654
434	503	653
435	504	652
436	505	650
437	505	649
438	506	647
439	507	646
440	508	644
441	509	642
442	510	641
443	510	639
444	511	638
445	512	636
446	513	634
447	513	633
448	514	631
449	515	629
450	516	628
451	517	627
452	517	625
453	518	623
454	519	622
455	520	620
456	520	619
457	521	617
458	522	615
459	523	614
460	523	612
461	524	611
462	525	609
463	526	608
464	527	606
465	528	605
466	528	603
467	529	602
468	530	600
469	531	598
470	531	597
471	532	595
472	533	594
473	533	592
474	534	590
475	535	589
476	536	587
477	536	586
478	537	584
479	538	583
480	539	581
481	539	580
482	540	578
483	541	577
484	541	575
485	542	573
486	543	572
487	544	570
488	544	569
489	545	568
490	546	566
491	547	565
492	548	563
493	548	562
494	549	560
495	550	559
496	551	557
497	551	556
498	552	554
499	553	553
500	553	551
501	554	550
502	555	548
503	555	547
504	556	545
505	557	544
506	557	542
507	558	541
508	559	539
509	560	538
510	560	536
511	561	535
512	562	533
513	562	532
514	563	530
515	564	529
516	564	527
517	565	526
518	566	525
519	567	523
520	567	522
521	568	520
522	569	519
523	570	517
524	570	516
525	571	515
526	572	513
527	573	512
528	573	510
529	574	509
530	575	508
531	575	506
532	576	505
533	577	503
534	577	502
535	578	500
536	579	499
537	580	498
538	580	496
539	581	495
540	582	493
541	582	492
542	583	491
543	584	489
544	585	488
545	585	487
546	586	485
547	587	484
548	587	483
549	588	481
550	589	480
551	590	478
552	590	477
553	591	476
554	592	474
555	592	473
556	593	472
557	594	470
558	594	469
559	595	467
560	596	466
561	596	465
562	597	463
563	598	462
564	598	461
565	599	459
566	600	458
567	601	457
568	602	456
569	602	454
570	603	453
571	604	452
572	605	451
573	606	450
574	607	448
575	608	447
576	608	446
577	609	444
578	610	443
579	610	442
580	611	441
581	612	439
582	613	438
583	613	437
584	614	435
585	615	434
586	615	433
587	616	432
588	617	430
589	618	429
590	618	428
591	619	427
592	620	425
593	621	424
594	622	423
595	622	422
596	623	421
597	624	419
598	625	418
599	626	417
600	626	416
601	627	414
602	628	413
603	629	412
604	629	411
605	630	409
606	631	408
607	631	407
608	632	406
609	633	405
610	634	403
611	634	402
612	635	401
613	636	400
614	637	398
615	637	397
616	638	396
617	639	395
618	639	393
619	640	392
620	641	391
621	642	390
622	643	389
623	643	387
624	644	386
625	645	385
626	645	384
627	646	383
628	647	381
629	648	380
630	648	379
631	649	378
632	650	376
633	650	375
634	651	374
635	652	373
636	652	372
637	653	370
638	654	369
639	654	368
640	655	367
641	656	365
642	657	364
643	657	363
644	658	362
645	659	361
646	660	360
647	660	358
648	661	357
649	662	356
650	662	355
651	663	354
652	664	353
653	665	351
654	666	350
655	666	349
656	667	348
657	668	347
658	668	346
659	669	344
660	670	343
661	671	342
662	671	341
663	672	340
664	673	339
665	673	337
666	674	336
667	675	335
668	676	334
669	676	333
670	677	332
671	678	331
672	678	329
673	679	328
674	680	327
675	680	326
676	681	325
677	682	324
678	683	323
679	683	321
680	684	320
681	685	319
682	686	318
683	687	317
684	687	316
685	688	315
686	689	314
687	690	312
688	690	311
689	691	310
690	692	309
691	693	308
692	693	307
693	694	306
694	695	305
695	696	304
696	697	303
697	697	301
698	698	300
699	700	300
700	701	299
701	702	298
702	703	297
703	704	296
704	705	295
705	705	293
706	706	292
707	707	291
708	708	290
709	709	289
710	709	288
711	710	287
712	711	286
713	712	285
714	713	284
715	713	283
716	714	282
717	715	281
718	716	279
719	716	278
720	717	277
721	718	276
722	718	275
723	719	274
724	720	273
725	721	272
726	721	271
727	722	269
728	723	268
729	724	267
730	724	266
731	725	265
732	726	264
733	727	263
734	727	262
735	728	261
736	729	260
737	730	259
738	731	258
739	731	257
740	732	256
741	733	254
742	734	253
743	734	252
744	735	251
745	736	250
746	736	249
747	737	248
748	738	247
749	738	246
750	739	245
751	740	244
752	741	243
753	742	242
754	743	241
755	743	240
756	744	239
757	745	237
758	746	236
759	746	235
760	747	234
761	748	233
762	749	232
763	749	231
764	750	230
765	751	229
766	752	228
767	752	227
768	753	226
769	754	225
770	755	224
771	756	223
772	756	222
773	757	221
774	758	220
775	758	219
776	759	218
777	760	217
778	761	215
779	762	214
780	762	213
781	763	212
782	764	211
783	765	210
784	766	209
785	766	208
786	767	207
787	768	206
788	769	205
789	769	204
790	770	203
791	771	202
